 Iteration,         tX,         tY,         tZ,         rX,         rY,         rZ,    Fitness,         x1,         x2,         x3,         x4,         x5,         x6
         0, 0.50735935, 0.56178775, 0.38458024, 0.08010681, 0.95015504, 0.93717525, 26.3567649, 26.3567649, 26.3567649, 26.3567649, 26.3567649, 26.3567649, 26.3567649
         0, 0.54736035, 0.51854031, 0.38269274, 0.29144042, 0.53904284, 0.72228542, 28.4392999, 28.4392999, 28.4392999, 28.4392999, 28.4392999, 28.4392999, 28.4392999
         0, 0.44263477, 0.60273885, 0.52863251, 0.83368102, 0.56885875, 0.04703254, 32.3018584, 32.3018584, 32.3018584, 32.3018584, 32.3018584, 32.3018584, 32.3018584
         0, 0.51995109, 0.66493673, 0.62697669, 0.67046278, 0.08480757, 0.45843077, 35.2822075, 35.2822075, 35.2822075, 35.2822075, 35.2822075, 35.2822075, 35.2822075
         0, 0.5820118, 0.3037906, 0.57567161, 0.80518103, 0.31209403, 0.43014552, 39.5638203, 39.5638203, 39.5638203, 39.5638203, 39.5638203, 39.5638203, 39.5638203
         0, 0.46118052, 0.30674708, 0.60600932, 0.24646531, 0.87239327, 0.73817316, 39.7047768, 39.7047768, 39.7047768, 39.7047768, 39.7047768, 39.7047768, 39.7047768
         0, 0.61236348, 0.57865532, 0.40501122, 0.8977344, 0.44340787, 0.55374755, 45.4965159, 45.4965159, 45.4965159, 45.4965159, 45.4965159, 45.4965159, 45.4965159
         0, 0.28029378, 0.39043471, 0.54754368, 0.16873211, 0.58320147, 0.45867025, 47.1022782, 47.1022782, 47.1022782, 47.1022782, 47.1022782, 47.1022782, 47.1022782
         0, 0.36113658, 0.63594484, 0.61967312, 0.53547589, 0.1002757, 0.82288339, 47.5264453, 47.5264453, 47.5264453, 47.5264453, 47.5264453, 47.5264453, 47.5264453
         0, 0.20743012, 0.46448448, 0.47361229, 0.6550675, 0.83429517, 0.33483121, 48.0348884, 48.0348884, 48.0348884, 48.0348884, 48.0348884, 48.0348884, 48.0348884
         0, 0.70666212, 0.37097724, 0.6941105, 0.00153972, 0.34963928, 0.53357773, 53.0159253, 53.0159253, 53.0159253, 53.0159253, 53.0159253, 53.0159253, 53.0159253
         0, 0.63375207, 0.71029403, 0.40558336, 0.73613843, 0.18112343, 0.49074247, 53.1486934, 53.1486934, 53.1486934, 53.1486934, 53.1486934, 53.1486934, 53.1486934
         0, 0.6386003, 0.56305212, 0.37377293, 0.19679557, 0.33540757, 0.19749488, 54.0373415, 54.0373415, 54.0373415, 54.0373415, 54.0373415, 54.0373415, 54.0373415
         0, 0.78509378, 0.46873962, 0.50585141, 0.91852319, 0.3164547, 0.56277287, 54.0836169, 54.0836169, 54.0836169, 54.0836169, 54.0836169, 54.0836169, 54.0836169
         0, 0.61939989, 0.62287877, 0.58688775, 0.33525914, 0.64905684, 0.93249451, 54.8692015, 54.8692015, 54.8692015, 54.8692015, 54.8692015, 54.8692015, 54.8692015
         0, 0.49541902, 0.21077929, 0.64414806, 0.13223914, 0.31340544, 0.5892142, 56.3268830, 56.326883, 56.326883, 56.326883, 56.326883, 56.326883, 56.326883
         0, 0.33885962, 0.19681929, 0.42504215, 0.32553975, 0.93354254, 0.718469, 56.4432366, 56.4432366, 56.4432366, 56.4432366, 56.4432366, 56.4432366, 56.4432366
         0, 0.64083111, 0.35509322, 0.72071961, 0.54356462, 0.27368644, 0.05079483, 56.4879839, 56.4879839, 56.4879839, 56.4879839, 56.4879839, 56.4879839, 56.4879839
         0, 0.57592613, 0.68884926, 0.57072189, 0.73957577, 0.7508152, 0.38775584, 56.5312596, 56.5312596, 56.5312596, 56.5312596, 56.5312596, 56.5312596, 56.5312596
         0, 0.63754948, 0.51018143, 0.81453174, 0.56681258, 0.07843546, 0.74886373, 56.9609712, 56.9609712, 56.9609712, 56.9609712, 56.9609712, 56.9609712, 56.9609712
         0, 0.40108054, 0.41725741, 0.81625734, 0.89512557, 0.73003213, 0.9210845, 57.6954717, 57.6954717, 57.6954717, 57.6954717, 57.6954717, 57.6954717, 57.6954717
         0, 0.43453077, 0.24538517, 0.64817674, 0.14329838, 0.4492795, 0.60238188, 57.9880270, 57.988027, 57.988027, 57.988027, 57.988027, 57.988027, 57.988027
         0, 0.48147101, 0.43336497, 0.82809245, 0.82269745, 0.76014249, 0.55587677, 58.2991756, 58.2991756, 58.2991756, 58.2991756, 58.2991756, 58.2991756, 58.2991756
